question_code,previous_sentence,to_annotate,following_sentence,annotation
G01Q8,"Nada parecerìa mas fabuloso que esta práctica, si no nos mostrasse la experiencia su verdad.",No es chanza: la mayor parte de los hombres no saben santiguarse.,"Es verdad que hay algunos pobrecitos, que lo hacen con bastante propriedad; pero los demàs, una de dos, ò lo ignoran, que es lo mas cierto, ò se averguenzan de formar la señal de la Cruz.",surprise
G01Q11,"Todo su aplaudido primor consiste en ciertas rusticas enojosas expresiones, con que despiden de sì à qualquiera, que no sea como ellas, y está toda su habilidad en aquel natural desenfado, con que echan à todos en cara sus mas ocultos defectos, aunque no tengan de ellos la mayor evidencia","Huid, Señora, de éstas, y preferid à su comunicacion la de las mas viles, y comunes mugeres; porque éstas no son, sino Demonios con faldas.","He llegado seguramente à creer, que no las debemos tener, ni mirar como mugeres; por lo que deberiamos tratarlas, como à unos malvados, y perjudiciales hombres disfrazados, para lograr impunemente los efectos de su malignidad, con el respetable trage de vuestro sexo; y assi justamente, sin respeto al disfráz, deberian ser tratadas con ignominia.",fear
G01Q13,"Un hombre habil, à fuerza de maña, puede engañarnos, y conducirnos tal vez à los fines, que se ha propuesto; pero por lo ordinario son inutiles sus esfuerzos.","Convencerá tal vez nuestro espiritu; pero poco importa: no gana, no somete nuestro corazon; y à pesar de sus raciocinios artificiosos, tenemos bastante fuerza para resistirle","No sucede lo mismo quando somos seducidos por una muger amable. Lejos de que hallemos en nuestro corazon medios de ilustrar nuestro espiritu, este ultimo es por lo ordinario victima del primero; y los movimientos, de que nuestra alma se siente agitada, no le dejan, ni el tiempo de reflexionar, ni la fuerza de resistir à la inclinacion, que la arrastra",trust
G01Q60,"En el principio, crió Dios las almas del bello sexô, separadas de sus cuerpos, y las formó de diferentes materias. Hizo algunas con los ingredientes que entran en la composicion del cerdo.","Una muger de esta cláse, es sucia en su casa, golosa en su mesa, desaliñada en sus vestidos y persona, y la habitacion que ella ocupa, se asemeja á una caballeriza.",Sacó una segunda cláse de almas de mugeres de aquellos materiales que sirven para formar la zorra.,disgust
G01Q64,"Crea Vm. que era necesaria esa declaracion, no por mi, sinó por muchos que pensaban acaso peor, movidos de que dirigiendo Vm. su Discurso á todos los Eclesiásticos, é invocando la humilde pobreza de los primeros tiempos del Christianismo exclamaba, ahora lo que tenemos son Beneficiados ricos; y porque ademas expresaba Vm. separadamente los Abates galanteadores, como cosa distinta de aquellos Beneficiados.","Pero una vez que veo con tanto gusto de mi corazon los religiosos sentimientos del suyo, desde luego le doy y recibo la enhorabuena",-,joy
G01Q67,-,"Señor Regañon: Como buen amante de la patria no puedo ménos de confesar á vmds. que habiendo leido los Números 1 y 2 de su periódico acerca de las costumbres públicas, me llené de alegría al ver los juiciosos y acertados pensamientos que en él se vertian, y me propuse desde luego escribir á vmd. dándole las gracias por su comunicacion, y por el buen zelo que muestra en un negocio que tanto interesa á la felicidad de la nacion.","Hágame vmd. ahora el favor de insertar en su periódico, si es que se reconoce de alguna utilidad, la Disertacion presente, y las que adelante remita con este ú otro objeto, y baxo del apellido de: El Amigo de los jóvenes, pues siendo la infelicidad de éstos la que resulta contra el bien del Estado, me es forzoso reconocer y arrancar desde la cuna las raices profundas de nuestras depravadas costumbres.",joy
G00Q55,Parte con increible afan parecia instar à la feracidad del suelo: parte se ocupaba en los trabajos de diferentes artes.,"Reynaba en todos el contento, y el ayre resonaba con los alegres cantares de que acompañaban su trabajo.",Los frutos que éste les producia corrian llenos de alegria à ofrecerlos à una Ninfa que aparecia sentada en medio de la llanura.,joy
G00Q64,"Y puede ser que sean treinta, porque me acuerdo que siendo las dos muy niñas, concurriamos juntas á la amiga, y á jugar á las muñecas en casa de una Señora que vivia en la plazuela del Beso: ¡pues el arrimadito que lleva siempre!","Es una vergüenza, un escándalo",No sé como hay maridos que tal sufran.,anger
G00Q72,"Que era negra la nieve; Pero, ¡oh quántos nos muestra Anaxàgoras de estos la edad nuestra!","No puedo sufrir ver hacer actos de virtud y devocion á los logreros, usureros, comerciantes de mala fé, avaros, codiciosos, y á los de una economia sórdida","¿Qué es verlos á estos, indefectibles en los jubileos, freqüentar los Sacramentos, y otros actos de Religion, como la Misa diaria?",disgust
G00Q80,"¡Valgame Dios, que paciencia es menester para tanta impertinencia de estos Críticos!",No puedo menos de irritarme al oir semejantes despropositos y locuras.,¿No sabe el Señor Severo que el escribir bien pertenece á la Ortografía?,anger
G00Q84,"Me pareció que mi dinero se habia desaparecido: que mi muger gobernaba la casa segun su capricho: que veía á ésta cubierta del luxo mas excesivo: que se hallaba freqüentemente en los paseos, en las tertulias, en los coliseos, y en todas las diversiones mundanas: que estaba muy favorecida de los obsequiantes que con la mayor libertad visitaban mi casa: que todo en ésta era un desórden.","Que yo pobre de mí me veía lánguido y estenuado, postrado en una cama, abandonado hasta del mas ínfimo sirviente.","Todo esto, y mucho mas que callo, me parecia estar pasando por mí, quando un criado que entró á llamarme para comer cortó el hilo de este trágico suceso.",sadness
G00Q141,"Este modo, aunque es un poco mas barbaro, que el mio, era mucho mas commodo para èl; y no yo, que soy tan mentecato, que no solo no quiero, que se ahorquen, sino que me mato porque vivian agradablemente, y lloro porque no lo hacen.","Confiesso à Vm. que yá no puedo sufrir la vida, que traygo con este afligido genio mio.","Hà muchos dias, que como Vm., me he metido à Pensador, y desde que tomè tan ruin oficio, estoy lleno de hypocondrìa, triste, y tan flaco, que apenas me conocería la madre que me pariò.",sadness
