question_code,previous_sentence,to_annotate,following_sentence
G01Q01,"Pero ella, conociendo el riesgo que havia en verle, y escucharle, llena de indignacion, y colera, le negò su presencia.","Mi pobre Vecino, posseìdo de una furiosa frenesì, enagenado de sì mismo, y sofocado de rabia, se enfurecia, y maldecia su fortuna, y precipitada audácia.","Hasta que bolviendo en sì, se hallò confuso de sus extravagancias, è intentò, arrepentido, trocar su enojo en una sumission profunda; pero nada sirviò para el caso."
G01Q03,"Antepone el Honor de la confianza de un traydor, à la conservacion de su Patria.","Matò à un Joven por haver murmurado de la conducta de una Dama, la que èl mismo havia deshonrado con un proceder infame.","Finnalmente, Timagenes, despues de haver arruinado à muchos pobres Oficiales, que le prestaron dinero, y à otros tantos Mercaderes, que le fiaron sus generos, vendiò su Patrimonio, con pretexto de pagar à sus Acrehedores; y pretende que le tengan por hombre de honra, solo porque satisfizo las deudas, que procedian del juego; y que à su entender son las unicas, que debe pagar un hombre honrado."
G01Q05,"No querràn hacerse cargo, de que Don Cayetano tiene prendas, que valen mas que la hacienda.","Su tierno corazon, su espiritu admirable, su modestia, su urbanidad, su bella presencia, su buena crianza, y la obligacion que tengo à sus rendimientos, desde el primer momento que me viò, merecen la atencion de qualquiera.","Olvidème decir à Vmd. que tiene los ojos negros, y que el Maestro me dice, que no cessa de llorar, quando le habla de mi."
G01Q06,"La semana passada assistì al Tocador de una Dama, que se ocupaba en tocar de mil distintos modos à una muñeca, para vèr el tocado que era mas apto para producir el mejor efecto en el rostro, y no lo produce malo el Bayle en la persona de mi conocida.","Otra Señorita, hermosa por extremo, garbosa de talle, de un oìdo admirable, y de una voz aplaudida, tiene à pesar de tantas prendas, el defecto, que, quando sale à baylar, sus rancadas, y sacudimientos destemplados, dàn à conocer, que quiere agradar con afectacion ridicula;","Lo que es causa, que todos quantos la tratan, la califican de innocente, ò de tonta."
G01Q50,Hay un Loco furioso: su locura consiste en dissipar toda su hacienda.,Tiene algunos intervalos de juicio; pero luego le buelve el frenesì con mayor fuerza.,"Ha hecho algunos viages à los Paìses Estrangeros; y sin embargo de la mudanza de ayres, no se ha conocido mejorìa en el desorden de su cerebro."
G01Q51,"Muy fácil y clara está la respuesta, porque llevando ya sentado y concedida su pobreza, y miseria, tan inmediata á la prosperidad en que hoy se miran, es preciso confesar (aunque con vergonzoso sentimiento) nace de los dispendios de sus apasiónados, que tan á vanderas desplegadas derraman los caudales adquiridos, ó heredados hasta quedárse en el deporáble [sic] estado de un grave empeño, engañando al Mercadér, Sastre, Zapatero, y otros menestrales para sostener su apasionada, primero que las obligaciones de su casa, viviendo siempre cercados del frude [sic], trapisónda, y vituperio, sin que puedan hallar medio, ni decente arbitrio, que les redima de tan penósa situacion.",El Mayorázgo disipa sus rentas sin conocimiento del trabajo que costó adquirirlas á sus antepasados,"El empleado desperdicia los sueldos, fiado en que no podrá faltárle esta diaria asistencia; y el que no lo está, ni tiene mas recurso que el corto interés de su industrioso manejo, se aniquila, hasta precipitarse: ¿y quién padece estas malas resultas?"
G01Q8,"Nada parecerìa mas fabuloso que esta práctica, si no nos mostrasse la experiencia su verdad.",No es chanza: la mayor parte de los hombres no saben santiguarse.,"Es verdad que hay algunos pobrecitos, que lo hacen con bastante propriedad; pero los demàs, una de dos, ò lo ignoran, que es lo mas cierto, ò se averguenzan de formar la señal de la Cruz."
G01Q55,"A lo menos podemos temer aquella máxîma incontrovertible, que en todas las naciones donde abundan los Médicos, se disminuye el número de los habitantes.","No nos desviamos de la verdad si comparamos á nuestros Médicos con los antiguos Bretones, en tiempo de Cesar; unos mataban á pie, otros estando en carro.","Añadase á este número el no ménos considerable de Físicos, que á costa de otros pacientes se aplican á quitar la vida á los gatos en una máquina pneumatica; á desquartizar vivos los perros; á traspasar á los inséctos con la punta de un alfiler, para observarlos con microscopio, y juntense tambien aquellos que van en busca de yerbas y plantas, y los que cazan mariposas, sin omitir los que juntan cortezas de árboles, y van tras de las arañas. A todos éstos, y á otros los colocaremos con los Boticarios, ó en el número de los Vivanderos que siguen al exercito, pues en las ocasiones usan de las armas, para echar mano al saquéo y á la desolacion"
G01Q11,"Todo su aplaudido primor consiste en ciertas rusticas enojosas expresiones, con que despiden de sì à qualquiera, que no sea como ellas, y está toda su habilidad en aquel natural desenfado, con que echan à todos en cara sus mas ocultos defectos, aunque no tengan de ellos la mayor evidencia","Huid, Señora, de éstas, y preferid à su comunicacion la de las mas viles, y comunes mugeres; porque éstas no son, sino Demonios con faldas.","He llegado seguramente à creer, que no las debemos tener, ni mirar como mugeres; por lo que deberiamos tratarlas, como à unos malvados, y perjudiciales hombres disfrazados, para lograr impunemente los efectos de su malignidad, con el respetable trage de vuestro sexo; y assi justamente, sin respeto al disfráz, deberian ser tratadas con ignominia."
G01Q57,Esta parte es la mas dificultosa de todo el exercicio,"Pero pocas Damas tengo báxo mi direccion, que desde que entraron en mi academia, no sepan dar un golpe de Abanico, sin que se oiga de una extremidad de la sala á otra; ántes bien descargan unos golpes tan fuertes, que el ruido iguala al de un pistolete.",Y para que las Damas jóvenes no dén fuera de tiempo golpes de Abanicos en parages vedados por la buena política; las enseño en qué circunstancias pueden ser del caso.
G01Q60,"En el principio, crió Dios las almas del bello sexô, separadas de sus cuerpos, y las formó de diferentes materias. Hizo algunas con los ingredientes que entran en la composicion del cerdo.","Una muger de esta cláse, es sucia en su casa, golosa en su mesa, desaliñada en sus vestidos y persona, y la habitacion que ella ocupa, se asemeja á una caballeriza.",Sacó una segunda cláse de almas de mugeres de aquellos materiales que sirven para formar la zorra.
G01Q61,Pero dos espaciosos senos que habia de una y otra parte del cráneo merecen alguna atencion.,"El de la izquierda encerraba imprecaciones, juramentos, ansias y congojas","De cada uno de estos senos se veia salir un canal que terminaba en la raiz de la lengua, donde los dos se unian, y luego formaban otro, que únicamente remataba en la extremidad de este segundo móvil pequeño."
G01Q64,"Crea Vm. que era necesaria esa declaracion, no por mi, sinó por muchos que pensaban acaso peor, movidos de que dirigiendo Vm. su Discurso á todos los Eclesiásticos, é invocando la humilde pobreza de los primeros tiempos del Christianismo exclamaba, ahora lo que tenemos son Beneficiados ricos; y porque ademas expresaba Vm. separadamente los Abates galanteadores, como cosa distinta de aquellos Beneficiados.","Pero una vez que veo con tanto gusto de mi corazon los religiosos sentimientos del suyo, desde luego le doy y recibo la enhorabuena",-
G01Q65,¿cómo se atreven á imaginar estos pisaverdes literarios que pueden hacer cosa que valga un comino no teniendo principios ni conocimientos fundamentales?,¡O miserables traductores!,"El idioma castellano os debe el incomparable beneficio de su corrupcion; vuestra ignorancia, atrevimiento y mal gusto en elegir las piezas teatrales, nos ha presentado en estos últimos tiempos las composiciones mas viles y despreciables traducidas en un lenguage bárbaro que no es español ni francés"
G01Q19,"En su gesto, en sus palabras, y acciones se leían el cariño, y la amistad, aquella amistad ilustrada, y decente, que depende de la razon, y se mantiene siempre con dignidad: que à pesar de una disciplina severa, y de una escrupulosa exactitud à no dejar sin castigo cosa alguna, que lo mereciese, parecia que empleaba mas su autoridad para hacerse amar, que para corregir: que en sus correcciones no entraba jamás à la parte el mal humor, la cólera, ni la aspereza: que si le imponia algun castigo, era haciendole vér que le forzaba à ello, y manifestando sentimiento de verse reducido à aquella dura necesidad: que no se paraba en menudencias frívolas, haciendo semblante de no verlas: que sus lecciones eran indirectas, mostrandole en los defectos agenos los suyos proprios, y dejandole à él mismo la aplicacion;","Y finalmente, que le traba como à hombre, para que llegase à serlo.","Este era el Ayo, que tenia mi pariente, y que podia servir de modélo para todos los Ayos"
