,question_code,previous_sentence,to_annotate,following_sentence,annotation
1,G01Q01,"Pero ella, conociendo el riesgo que havia en verle, y escucharle, llena de indignacion, y colera, le negò su presencia.","Mi pobre Vecino, posseìdo de una furiosa frenesì, enagenado de sì mismo, y sofocado de rabia, se enfurecia, y maldecia su fortuna, y precipitada audácia.","Hasta que bolviendo en sì, se hallò confuso de sus extravagancias, è intentò, arrepentido, trocar su enojo en una sumission profunda; pero nada sirviò para el caso.",anger
10,G01Q07,"Estas lecciones caen sobre buen terreno.Son recibidas con amor, y fructifican con abundancia","Mi muger aborrece hasta el nombre de Cortejo, y su sencillèz no le permite entender cómo puede haver Dama, que tenga intimidad, llaneza, ni confianzas con quien no es su marido.","Trata con dulzura à las personas, que la visitan, y está persuadida à que son acreedoras à sus atenciones todas las personas, que se incomodan por hacerle compañia.",disgust
12,G01Q8,"Nada parecerìa mas fabuloso que esta práctica, si no nos mostrasse la experiencia su verdad.",No es chanza: la mayor parte de los hombres no saben santiguarse.,"Es verdad que hay algunos pobrecitos, que lo hacen con bastante propriedad; pero los demàs, una de dos, ò lo ignoran, que es lo mas cierto, ò se averguenzan de formar la señal de la Cruz.",surprise
17,G01Q10,"Estoy muy bien con que las mugeres, que comunmente se distinguen con el rumboso titulo de Literatas, hayan perdido todo el credito de tales por su importuna loquacidad, ò bachillerìa; y mucho mas por la satisfaccion, que adquieren de sì mismas, à poco que les parezca sobresalir entre las otras: pero para este achaque es el mas util, y facil remedio reflexioneis alguna vez, que por mucho trabajo que hayais podido emplear, en linea de literatura, jamás llegareis à saber tanto, que merezca desvaneceros.","La lectura à que yo intento conduciros, solo podrà mejorar vuestro talento, y éste tambien lograrà enmendarse por medio de la prudencia, y discrecion en todo.","El falso méthodo de estudiar y la mala eleccion de libros, es la causa de que aquellas Señoras, llamadas Literatas, hayan salido tanto mas necias, quanto ha sido mayor su mal dispuesta aplicacion à la lectura.",trust
20,G01Q11,"Todo su aplaudido primor consiste en ciertas rusticas enojosas expresiones, con que despiden de sì à qualquiera, que no sea como ellas, y está toda su habilidad en aquel natural desenfado, con que echan à todos en cara sus mas ocultos defectos, aunque no tengan de ellos la mayor evidencia","Huid, Señora, de éstas, y preferid à su comunicacion la de las mas viles, y comunes mugeres; porque éstas no son, sino Demonios con faldas.","He llegado seguramente à creer, que no las debemos tener, ni mirar como mugeres; por lo que deberiamos tratarlas, como à unos malvados, y perjudiciales hombres disfrazados, para lograr impunemente los efectos de su malignidad, con el respetable trage de vuestro sexo; y assi justamente, sin respeto al disfráz, deberian ser tratadas con ignominia.",fear
21,G01Q13,"Un hombre habil, à fuerza de maña, puede engañarnos, y conducirnos tal vez à los fines, que se ha propuesto; pero por lo ordinario son inutiles sus esfuerzos.","Convencerá tal vez nuestro espiritu; pero poco importa: no gana, no somete nuestro corazon; y à pesar de sus raciocinios artificiosos, tenemos bastante fuerza para resistirle","No sucede lo mismo quando somos seducidos por una muger amable. Lejos de que hallemos en nuestro corazon medios de ilustrar nuestro espiritu, este ultimo es por lo ordinario victima del primero; y los movimientos, de que nuestra alma se siente agitada, no le dejan, ni el tiempo de reflexionar, ni la fuerza de resistir à la inclinacion, que la arrastra",trust
27,G01Q60,"En el principio, crió Dios las almas del bello sexô, separadas de sus cuerpos, y las formó de diferentes materias. Hizo algunas con los ingredientes que entran en la composicion del cerdo.","Una muger de esta cláse, es sucia en su casa, golosa en su mesa, desaliñada en sus vestidos y persona, y la habitacion que ella ocupa, se asemeja á una caballeriza.",Sacó una segunda cláse de almas de mugeres de aquellos materiales que sirven para formar la zorra.,disgust
30,G01Q62,"Finalmente, era lo mas recóndito de él, y con el auxîlio de nuestros microscopios descubrimos un hombre pequeñito vestido de color de panza de sapo muy a lo petimetre.","Quanto mas lo miraba tanto mas me parecia haberle visto en cierto pais, sin poderme acordar ni del tiempo, ni del parage.","Mas uno de los compañeros que lo habia exâminado muy de cerca, nos hizo ver con distincion las facciones del rostro, el ayre de todo su cuerpo, y que aquel pequeño polo, colocado en el medio del corazon era el Petimetre, de cuyo celebro habiamos poco ántes hecho la anatomía.",surprise
34,G01Q64,"Crea Vm. que era necesaria esa declaracion, no por mi, sinó por muchos que pensaban acaso peor, movidos de que dirigiendo Vm. su Discurso á todos los Eclesiásticos, é invocando la humilde pobreza de los primeros tiempos del Christianismo exclamaba, ahora lo que tenemos son Beneficiados ricos; y porque ademas expresaba Vm. separadamente los Abates galanteadores, como cosa distinta de aquellos Beneficiados.","Pero una vez que veo con tanto gusto de mi corazon los religiosos sentimientos del suyo, desde luego le doy y recibo la enhorabuena",-,joy
36,G01Q65,¿cómo se atreven á imaginar estos pisaverdes literarios que pueden hacer cosa que valga un comino no teniendo principios ni conocimientos fundamentales?,¡O miserables traductores!,"El idioma castellano os debe el incomparable beneficio de su corrupcion; vuestra ignorancia, atrevimiento y mal gusto en elegir las piezas teatrales, nos ha presentado en estos últimos tiempos las composiciones mas viles y despreciables traducidas en un lenguage bárbaro que no es español ni francés",anger
38,G01Q19,"En su gesto, en sus palabras, y acciones se leían el cariño, y la amistad, aquella amistad ilustrada, y decente, que depende de la razon, y se mantiene siempre con dignidad: que à pesar de una disciplina severa, y de una escrupulosa exactitud à no dejar sin castigo cosa alguna, que lo mereciese, parecia que empleaba mas su autoridad para hacerse amar, que para corregir: que en sus correcciones no entraba jamás à la parte el mal humor, la cólera, ni la aspereza: que si le imponia algun castigo, era haciendole vér que le forzaba à ello, y manifestando sentimiento de verse reducido à aquella dura necesidad: que no se paraba en menudencias frívolas, haciendo semblante de no verlas: que sus lecciones eran indirectas, mostrandole en los defectos agenos los suyos proprios, y dejandole à él mismo la aplicacion;","Y finalmente, que le traba como à hombre, para que llegase à serlo.","Este era el Ayo, que tenia mi pariente, y que podia servir de modélo para todos los Ayos",trust
40,G01Q66,"Exâminemos pues esta señora advertencia, porque hay mucho que tratar sobre ella. Despues de referirnos en el primer párrafo, que llegó por casualidad á sus manos la Zarzuela titulada el Baron, tan deforme en todas sus partes, prosigue en el segundo así:","Mi primer intento, dice, fué purgar aquel despreciable embrion de sus muchos errores, para poderlo leer en una tertulia de amigos;","pero puesto al trabajo conocí que era muy ímprobo, y que me seria mas fácil hacer un drama sobre su mismo fondo, cuyo objeto fuese satirizar el prurito de muchos padres que sacrifican sus hijos por una ridícula vanidad, sin consultar su inclinacion ni sus verdaderos intereses.""",disgust
42,G01Q67,-,"Señor Regañon: Como buen amante de la patria no puedo ménos de confesar á vmds. que habiendo leido los Números 1 y 2 de su periódico acerca de las costumbres públicas, me llené de alegría al ver los juiciosos y acertados pensamientos que en él se vertian, y me propuse desde luego escribir á vmd. dándole las gracias por su comunicacion, y por el buen zelo que muestra en un negocio que tanto interesa á la felicidad de la nacion.","Hágame vmd. ahora el favor de insertar en su periódico, si es que se reconoce de alguna utilidad, la Disertacion presente, y las que adelante remita con este ú otro objeto, y baxo del apellido de: El Amigo de los jóvenes, pues siendo la infelicidad de éstos la que resulta contra el bien del Estado, me es forzoso reconocer y arrancar desde la cuna las raices profundas de nuestras depravadas costumbres.",joy
45,G01Q70,"Pero, señor Regañon, como todo cansa en este mundo, aunque la carta del Escolar Andaluz me ha hecho la mayor choz, ya me voy fastidiando de descubrir y comentar sus bellezas: dexo pues en paz al Amigo de los Jóvenes, y paso por alto las cosas buenas que en su impugnacion nos dice el Escolar, sus chorretadas de erudicion, y sus exquisitas noticias, tal como la de Tasso.","Pero en obsequio de la verdad debo decir, que para volver á leer la carta del Amigo de los Jóvenes es menester hígados, y que solo por la nota que lleva al principio puede conocerse á lo que se dirige, ni mas ni ménos que los quadros de aquel pintor, que solo se conocia lo que representaban por un rótulo que ponia debaxo",-,no emotion
49,G01Q23,-,Otra semana sabrèmos los demás articulos de esta Pragmatica.,Siguen los proverbios. No fuera malo olvidar mil cosas de juventud.,anticipation
