question_code,sentence,polarity_annotation,emotion_annotation,narrative_form,periodical_name
G01Q02,"Continuamente la oygo decir à sus solas, y mascando, que no quiere hablar, ni decir cosa alguna; pero que teniendo la cabeza sobre la almohada, bien sabe.",neutral,no_agreement,LB, 1761-07-08_El-Duende-especulativo-sobre-la-vida-civil_Juan-Antonio-Mercadal-(Francisco-Mariano-Nipho-o-Juan-Enrique-de-Graef)_Vol-1_Nr-07_093-241.txt
G01Q03,"Matò à un Joven por haver murmurado de la conducta de una Dama, la que èl mismo havia deshonrado con un proceder infame.",negative,no_agreement, EX , 1761-09-05_El-Duende-especulativo-sobre-la-vida-civil_Juan-Antonio-Mercadal-(Francisco-Mariano-Nipho-o-Juan-Enrique-de-Graef)_Vol-1_Nr-15_099-381.txt
G01Q05,"Su tierno corazon, su espiritu admirable, su modestia, su urbanidad, su bella presencia, su buena crianza, y la obligacion que tengo à sus rendimientos, desde el primer momento que me viò, merecen la atencion de qualquiera.",positive,no_agreement, FP ,  1761-09-26_El-Duende-especulativo-sobre-la-vida-civil_Juan-Antonio-Mercadal-(Francisco-Mariano-Nipho-o-Juan-Enrique-de-Graef)_Vol-1_Nr-18_099-384.txt
G01Q06,"Otra Señorita, hermosa por extremo, garbosa de talle, de un oìdo admirable, y de una voz aplaudida, tiene à pesar de tantas prendas, el defecto, que, quando sale à baylar, sus rancadas, y sacudimientos destemplados, dàn à conocer, que quiere agradar con afectacion ridicula;",negative,no_agreement, ??, 1761-07-27_El-Duende-especulativo-sobre-la-vida-civil_Juan-Antonio-Mercadal-(Francisco-Mariano-Nipho-o-Juan-Enrique-de-Graef)_Vol-1_Nr-10_093-244.txt
G01Q50,Tiene algunos intervalos de juicio; pero luego le buelve el frenesì con mayor fuerza.,negative,no_agreement,LB, 1762-1763_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-1_Nr-06_096-314.txt
G01Q51,El Mayorázgo disipa sus rentas sin conocimiento del trabajo que costó adquirirlas á sus antepasados,negative,no_agreement,FP, 1786_El-Juzgado-Casero_Anónimo_Vol-1_Nr-01_470.txt
G01Q07,"Mi muger aborrece hasta el nombre de Cortejo, y su sencillèz no le permite entender cómo puede haver Dama, que tenga intimidad, llaneza, ni confianzas con quien no es su marido.",negative,disgust,SP,1762-1763_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-1_Nr-06_096-314.txt
G01Q53,"Pues ha de saber Vmd. que, como si fuera un disparate quanto sale de mi boca, lo mismo es articular una palabra, que celebrarla todos con unos elogios y unas admiraciones, que yo conozco que son una verdadera burla; porque, reflexionando en lo que acabo de decir, veo bien que qualquiera diria otro tanto.",negative,no_agreement,SP, 1787_El-Censor_Anonym-(García-de-Cañuelo-Luis+-Pereira-Luis-Marcelino)_Vol-8_Nr-150_105-621.txt
G01Q9,"El amor, que todos tenemos à la libertad, impedirà quizà que mis advertencias hagan impression en vuestro espiritu.",neutral,no_agreement,LB, 1762-1763_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-3_Nr-029_107-684.txt
G01Q10,"La lectura à que yo intento conduciros, solo podrà mejorar vuestro talento, y éste tambien lograrà enmendarse por medio de la prudencia, y discrecion en todo.",positive,trust,FP, 1762-1763_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-3_Nr-029_107-684.txt
G01Q55,"No nos desviamos de la verdad si comparamos á nuestros Médicos con los antiguos Bretones, en tiempo de Cesar; unos mataban á pie, otros estando en carro.",negative,no_agreement,EX, 1788_El-Filósofo-á-la-Moda_Anónimo_Vol-1_Nr-005_099-389.txt
