ID;Sentence;GPT;Explanation
G00Q136;Miralos sin humanidad, y como esclavos, y ellos à su vez la sirven sin respeto, sublevados contra su tyranìa.;Negative;References to "sin humanidad" (without humanity) and "sublevados contra su tyranìa" (rebelling against their tyranny) indicate negative sentiment.
G00Q137;Miralos sin humanidad, y como esclavos, y ellos à su vez la sirven sin respeto, sublevados contra su tyranìa.;Negative;Same as above.
G00Q138;No es tan facil determinar por dónde se ha de dár principio à la accion Dramatica.;Neutral;Statement about the challenge of determining the start of a dramatic action.
G00Q139;Tù debes acordarte de la ternura, con que se portan las madres de mi País: del cuidado, con que nos crian, y de las atenciones, que les merecemos.;Positive;References to "ternura" (tenderness), "cuidado" (care) and "atenciones" (attentions) denote positive sentiment.
G00Q140;Alli estarà mas tranquilo, y podrà vivir à su gusto, y de contado no nos incomodarèmos uno á otro.;Positive;Reference to "tranquilo" (calm) and living freely indicates positive sentiment.
G00Q141;Confiesso à Vm. que yá no puedo sufrir la vida, que traygo con este afligido genio mio.;Negative;The use of "no puedo sufrir" (I can't bear) and "afligido" (afflicted) indicate negative sentiment.
G00Q142;Algunas veces me contento con arquear las cejas, y encoger los hombros.;Neutral;Describes a nonchalant or indifferent gesture, but no clear sentiment polarity.
G00Q143;Muriò en mis brazos, y en el desorden, en que me hallaba, me pareciò, que su pecho aùn respiraba.;Negative;Reference to death "Muriò" (died) and "desorden" (disarray) denote negative sentiment.
G00Q146;Quisiera Vm. que yo dijera, que esto propriamente se llama echar tierra à los ojos, y alucinar à ignorantes, y que si esto no es falta de caridad, calumnia, è impostura, digna del mas severo castigo, no hay otro nombre que darle, y que fuera mucho mejor, que el señor mio, se curára esta lepra, y no amenazára al Pensador con la de Ozìas, que el que le aconseje, que oyga con docilidad los Sermones.;Negative;Words like "calumnia" (slander), "impostura" (deception), and "lepra" (leprosy) indicate negative sentiment.
G00Q147;¿no hay Dios que castigue?;Negative;Questioning whether there's a God to punish implies a negative sentiment.
G00Q149;Ahora bien, yo no pretendo llevar las cosas al extremo.;Neutral;Statement about not taking things to the extreme.
G00Q150;Que vivan contentos, y felices todos los hombres en la tierra, es empressa, à que no se ha atrevido, ni Jupiter, ni yo.;Neutral;Statement about the challenge of making everyone happy on Earth, with no clear sentiment.
G00Q151;Si hablo mucho, si con todos me rio, si me burlo de éste, si al descuido le doy un capirote à aquel, soy malo, soy perverso, soy demasiado astuto.;Negative;Words like "malo" (bad) and "perverso" (wicked) denote negative sentiment.
G00Q153;Añada Vm. à esto, que tenia una porcion de defectos capitales, por los quales debia ser excluìdo de la Cofradìa, pues ni cantaba, ni tocaba instrumento alguno, ni sabìa mentir, ni engañar, ni murmurar, ni dissimular.;Negative;Listing various defects and shortcomings indicates negative sentiment.
G00Q154;Yo sè que su caracter es de amar, y desear lo justo, y desde luego, para que Vms. queden mas satisfechas, le escribirè, à fin de que ataque los vicios en su raíz, y piense sobre la educacion de los hombres, como que de ella se origina toda la corrupcion de la sociedad.;Mixed;Starts with positive sentiment about character but ends with a negative note about corruption in society.
