G01Q01 |LB+AE|   1761-07-08_El-Duende-especulativo-sobre-la-vida-civil_Juan-Antonio-Mercadal-(Francisco-Mariano-Nipho-o-Juan-Enrique-de-Graef)_Vol-1_Nr-07_093-241.txt
G01Q02|LB| 1761-07-08_El-Duende-especulativo-sobre-la-vida-civil_Juan-Antonio-Mercadal-(Francisco-Mariano-Nipho-o-Juan-Enrique-de-Graef)_Vol-1_Nr-07_093-241.txt
G01Q03| EX | 1761-09-05_El-Duende-especulativo-sobre-la-vida-civil_Juan-Antonio-Mercadal-(Francisco-Mariano-Nipho-o-Juan-Enrique-de-Graef)_Vol-1_Nr-15_099-381.txt
G01Q04  | TR  | 1761-09-05_El-Duende-especulativo-sobre-la-vida-civil_Juan-Antonio-Mercadal-(Francisco-Mariano-Nipho-o-Juan-Enrique-de-Graef)_Vol-1_Nr-15_099-381.txt
G01Q05| FP |  1761-09-26_El-Duende-especulativo-sobre-la-vida-civil_Juan-Antonio-Mercadal-(Francisco-Mariano-Nipho-o-Juan-Enrique-de-Graef)_Vol-1_Nr-18_099-384.txt
G01Q06| ??| 1761-07-27_El-Duende-especulativo-sobre-la-vida-civil_Juan-Antonio-Mercadal-(Francisco-Mariano-Nipho-o-Juan-Enrique-de-Graef)_Vol-1_Nr-10_093-244.txt
G01Q72|D | 1761-09-26_El-Duende-especulativo-sobre-la-vida-civil_Juan-Antonio-Mercadal-(Francisco-Mariano-Nipho-o-Juan-Enrique-de-Graef)_Vol-1_Nr-18_099-384.txt
G00Q181|LB|o:mws-091-166 La Pensadora Gaditana
G01Q07|SP|1762-1763_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-1_Nr-06_096-314.txt
G01Q08|FP|1762-1763_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-3_Nr-028_107-682
G01Q51|FP| 1786_El-Juzgado-Casero_Anónimo_Vol-1_Nr-01_470.txt
G01Q50|LB| 1762-1763_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-1_Nr-06_096-314.txt
G01Q53|SP| 1787_El-Censor_Anonym-(García-de-Cañuelo-Luis+-Pereira-Luis-Marcelino)_Vol-8_Nr-150_105-621.txt
G01Q9|LB| 1762-1763_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-3_Nr-029_107-684.txt
G01Q54|EX| 1788_El-Filósofo-á-la-Moda_Anónimo_Vol-1_Nr-002_099-386.txt
G01Q10|FP| 1762-1763_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-3_Nr-029_107-684.txt
G01Q55|EX| 1788_El-Filósofo-á-la-Moda_Anónimo_Vol-1_Nr-005_099-389.txt
G01Q11|FP|1762-1763_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-3_Nr-030_107-685.txt
G01Q12|SP| 1762-1763_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-3_Nr-031_107-686.txt
G01Q13|SP| 1762-1763_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-3_Nr-031_107-686.txt
G01Q14|SP| 1762-1763_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-3_Nr-031_107-686
G01Q56|S| 1788_El-Filósofo-á-la-Moda_Anónimo_Vol-1_Nr-011_111-792.txt
