,question_code,sentence,polarity_annotation,emotion_annotation,narrative_form,periodical_name,sentiment_pysentimiento,emotion_pysentimiento,nf_sentiment_lexicon_dispecs,nf_sentiment_lexicon_computational,nf_sentiment_lexicon_corrected,lexicon_emotion,manual_lexicon_sent_score,comp_lexicon_sent_score,corr_lexicon_sent_score,sentiment_py,emotion_py,Sentiment-GPT3-simple,sentiment_annotation_list,gpt-3-new,corr_lexicon_sent_score_list,manual_lexicon_sent_score_list,computational_lexicon_sent_score_list
0,G00Q136,"Miralos sin humanidad, y como esclavos, y ellos à su vez la sirven sin respeto, sublevados contra su tyranìa.",NEG,no_agreement,FP,1762-1763_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-2_Nr-020_105-649.txt,"AnalyzerOutput(output=NEG, probas={NEG: 0.887, NEU: 0.098, POS: 0.015})","AnalyzerOutput(output=anger, probas={anger: 0.841, disgust: 0.124, sadness: 0.018, others: 0.013, fear: 0.002, joy: 0.001, surprise: 0.001})",0.0,0.0,0.0,joy,NEU,NEU,NEU,NEG,anger,NEG,3,3,2,2,2
1,G00Q138,No es tan facil determinar por dónde se ha de dár principio à la accion Dramatica.,NEU,no_agreement,LB,1762-1763_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-2_Nr-027_107-681.txt,"AnalyzerOutput(output=NEG, probas={NEG: 0.585, NEU: 0.395, POS: 0.020})","AnalyzerOutput(output=others, probas={others: 0.992, sadness: 0.003, surprise: 0.002, anger: 0.001, joy: 0.001, fear: 0.001, disgust: 0.000})",1.0,1.0,1.0,others,POS,POS,POS,NEG,others,NEU,2,2,1,1,1
2,G00Q139,"Tù debes acordarte de la ternura, con que se portan las madres de mi País: del cuidado, con que nos crian, y de las atenciones, que les merecemos.",POS,no_agreement,LB,1762-1763_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-3_Nr-032_107-687.txt,"AnalyzerOutput(output=POS, probas={POS: 0.804, NEU: 0.166, NEG: 0.031})","AnalyzerOutput(output=joy, probas={joy: 0.552, others: 0.404, anger: 0.021, sadness: 0.017, disgust: 0.003, fear: 0.002, surprise: 0.001})",1.0,1.0,1.0,joy,POS,POS,POS,POS,joy,POS,1,1,1,1,1
3,G00Q140,"Alli estarà mas tranquilo, y podrà vivir à su gusto, y de contado no nos incomodarèmos uno á otro.     [positive]",POS,no_agreement,D,1762-1763_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-3_Nr-033_107-688.txt,"AnalyzerOutput(output=POS, probas={POS: 0.672, NEU: 0.311, NEG: 0.018})","AnalyzerOutput(output=others, probas={others: 0.969, joy: 0.022, sadness: 0.006, anger: 0.001, disgust: 0.001, fear: 0.001, surprise: 0.000})",1.0,1.0,1.0,joy,POS,POS,POS,POS,others,POS,1,1,1,1,1
4,G00Q141,"Confiesso à Vm. que yá no puedo sufrir la vida, que traygo con este afligido genio mio.",NEG,no_agreement,SP,1762-1763_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-3_Nr-034_107-689.txt,"AnalyzerOutput(output=NEG, probas={NEG: 0.717, NEU: 0.255, POS: 0.028})","AnalyzerOutput(output=sadness, probas={sadness: 0.848, others: 0.138, joy: 0.006, fear: 0.004, surprise: 0.002, disgust: 0.002, anger: 0.001})",-0.3333333333333333,0.3333333333333333,-0.3333333333333333,sadness,NEG,POS,NEG,NEG,sadness,NEG,3,3,3,3,1
5,G00Q142,"Algunas veces me contento con arquear las cejas, y encoger los hombros.",NEU,no_agreement,SP,1762-1763_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-3_Nr-034_107-689.txt,"AnalyzerOutput(output=NEU, probas={NEU: 0.649, POS: 0.303, NEG: 0.048})","AnalyzerOutput(output=joy, probas={joy: 0.837, others: 0.154, sadness: 0.005, surprise: 0.002, fear: 0.001, anger: 0.001, disgust: 0.001})",1.0,1.0,1.0,joy,POS,POS,POS,NEU,joy,NEU,2,2,1,1,1
6,G00Q143,"Muriò en mis brazos, y en el desorden, en que me hallaba, me pareciò, que su pecho aùn respiraba.",NEG,no_agreement,LB,1762-1763_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-3_Nr-035_107-690.txt,"AnalyzerOutput(output=NEU, probas={NEU: 0.499, NEG: 0.402, POS: 0.100})","AnalyzerOutput(output=sadness, probas={sadness: 0.979, others: 0.014, fear: 0.003, surprise: 0.001, disgust: 0.001, anger: 0.001, joy: 0.001})",-1.0,-1.0,-1.0,anger,NEG,NEG,NEG,NEU,sadness,POS,3,1,3,3,3
7,G00Q146,"Quisiera Vm. que yo dijera, que esto propriamente se llama echar tierra à los ojos, y alucinar à ignorantes; y que si esto no es falta de caridad, calumnia, è impostura, digna del mas severo castigo, no hay otro nombre que darle; y que fuera mucho mejor, que el señor mio, se curára esta lepra, y no amenazára al Pensador con la de Ozìas, que el que le aconseje, que oyga con docilidad los Sermones.",NEG,no_agreement,LB,1762-1763_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-3_Nr-039_106-669.txt,"AnalyzerOutput(output=NEG, probas={NEG: 0.523, NEU: 0.374, POS: 0.103})","AnalyzerOutput(output=anger, probas={anger: 0.712, others: 0.151, disgust: 0.087, sadness: 0.042, fear: 0.004, surprise: 0.002, joy: 0.001})",0.0,0.0,0.0,sadness,NEU,NEU,NEU,NEG,anger,NEG,3,3,2,2,2
8,G00Q147,¿no hay Dios que castigue?,NEG,no_agreement,LB,1762-1763_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-3_Nr-039_106-669.txt,"AnalyzerOutput(output=NEG, probas={NEG: 0.770, NEU: 0.215, POS: 0.015})","AnalyzerOutput(output=others, probas={others: 0.841, surprise: 0.061, anger: 0.043, sadness: 0.024, fear: 0.016, disgust: 0.010, joy: 0.004})",0.0,0.0,0.0,others,NEU,NEU,NEU,NEG,others,NEG,3,3,2,2,2
9,G00Q149,"Ahora bien, yo no pretendo llevar las cosas al extremo.",NEU,no_agreement,LB,1762-1763_El-Pensador_Joseph-Álvarez-y-Valladares-(José-Clavijo-y-Faxardo)_Vol-4_Nr-046_107-697.txt,"AnalyzerOutput(output=NEU, probas={NEU: 0.694, NEG: 0.271, POS: 0.035})","AnalyzerOutput(output=others, probas={others: 0.990, sadness: 0.003, anger: 0.002, surprise: 0.001, joy: 0.001, fear: 0.001, disgust: 0.000})",0.0,0.0,0.0,joy,NEU,NEU,NEU,NEU,others,NEU,2,2,2,2,2
