sentence,annotation
"Confiesso à Vm. que yá no puedo sufrir la vida, que traygo con este afligido genio mio.",sadness
"Algunas veces me contento con arquear las cejas, y encoger los hombros.",no emotion
"Muriò en mis brazos, y en el desorden, en que me hallaba, me pareciò, que su pecho aùn respiraba.",sadness
¡què mal lo conoce V. M.!,surprise
"Ni tantos ancianos, que en la mas estrecha angustia de la escaséz, buscan el pan con el doble sudor de su rostro, sudan en adquirirle mendigando, y sudan con la vergüenza de haberle de procurar pidiendo.",sadness
"¡valgate Dios por nombre, que aún assi engendras sustos, parasismos, y aborrecimiento!",disgust
"Lucio es un ingrato, es un Hombre, que entrega â el olvido los mayores favores, pues en el tiempo de su miseria le socorrì con generosidad, y ahora que yá de nadie necessita, no hace caso de quien tanto le sirviò",disgust
"Tenía muchissima confianza de mi, como que se hacía cargo de la prenda, que tenìa en Casa.",trust
"Estas fingidas esperanzas, y las importunas ponderaciones de todos los que me trataban, como conquistados de sus regalos, me llevaron voluntariamente â manos de mi mayor desgracia.",sadness
"Señora Culta, su Carta es un farrago de los mas despreciables, y en su obscuro contexto se mira la satisfaccion de su duda.",disgust
"Yo por mi desgracia me hallo Casada con un Curioso tan fino, que por la menor novedad que se le presente, se estará dos dias sin venir â casa, hasta conseguir hallarse informado de sus menores circunstancias, para despues tener assumpto flamante en las Tertulias",sadness
"Se le presentaba siempre lleno el semblante de serenidad, y tan contenta como pudiera en medio de la abundancia y las riquezas.",joy
"Y estos mismos amigos le miran con indiferencia, punto menos que en la miseria de que él los sacó, y de que son ellos la verdadera causa.",anger
"pero un accidente peor para mí que una buena enfermedad me obliga à guardar Casa por algunos dias, y à no presentarme donde Gentes me vean la cara, hasta que à todas se les haya borrado de la imaginacion mi fisonomía.",fear
"De aqui es que no hablará una palabra en asunto de la moda, aquel ente que, en sentir de nuestros Catones, trae en perpetuo jiro y continuo mobimiento los cerebros vacíos, ligeros, y volatiles.",no emotion
"Tal qual diamantillo tiene; pero lo demás son chispas, y todo ello de muy mal gusto.",disgust
"A mí me hizo reir este ofrecimiento, mas no asi al otro, à quien antes le irritó tanto, que à breves razones vino à decirle que era un herege, y que su proposicion era no tan solamente impía, heretica, erronea, y escandalosa, sino tambien capciosa, y piarum aurium ofensiva:",anger
"Es un cobarde, un vil, un indigno de los honores que goza, y de alternar con quien tenga el corazon bien puesto.",disgust
¡Qué delicia no sería oirlas entonar con sus encantadoras voces el Te Franciscum laudamus por alguna victoria contra infieles!,joy
"y como nadie hasta ahora se habia acordado de mí para este efecto, y debia trabajarlo todo por mí mismo, me iba desanimando poco á poco de mi empeño.",sadness
"Una cosa semejante creen ellos que ha de sucederles en el Tribunal Supremo, respecto de aquellas acciones delinqüentes, en las quales tienen por complice á la muchedumbre.",no emotion
"La miseria iba á oprimirme, y no me quedaba ya sino este infame medio para librarme de una inminente ruina.",fear
"Le hemos manifestado varias veces quán impropias nos parecen de un hombre bien educado, y quanto nos ofenden éstas y otras expresiones;",anger
"antes mas me le afeminaron, y era tal el temor que me causaban los Duendes, que en oyendo á á  mis criados algun cuento de estos, al instante llenaba la casa de gritos, y me hacía aguas en la cama. Con que siendo asi,",fear
"Mas yo no sé como entorpecidas por una especie de encanto mis piernas, al primer paso que fuí a dar caí tendido en tierra, de que no sin mucha fatiga pude levantarme.",surprise
"La aurora de un nuevo periódico se presenta apacible á la sociedad, y la anima con indecible esplendor.",joy
