question_code,sentence,polarity_annotation
G01Q01,"Mi pobre Vecino, posseìdo de una furiosa frenesì, enagenado de sì mismo, y sofocado de rabia, se enfurecia, y maldecia su fortuna, y precipitada audácia.",NEG
G01Q02,"Continuamente la oygo decir à sus solas, y mascando, que no quiere hablar, ni decir cosa alguna; pero que teniendo la cabeza sobre la almohada, bien sabe.",NEU
G01Q03,"Matò à un Joven por haver murmurado de la conducta de una Dama, la que èl mismo havia deshonrado con un proceder infame.",NEG
G01Q04,"Pero no havia pisado sus umbrales, quando la Discordia, y el Engaño, seguidos de una numerosa comiva, quedaron suspensos, y atonitos, aguardando con respestuoso silencio, el paradero de una aparicion tan opuesta à su gusto.",NEU
G01Q05,"Su tierno corazon, su espiritu admirable, su modestia, su urbanidad, su bella presencia, su buena crianza, y la obligacion que tengo à sus rendimientos, desde el primer momento que me viò, merecen la atencion de qualquiera.",POS
G01Q06,"Otra Señorita, hermosa por extremo, garbosa de talle, de un oìdo admirable, y de una voz aplaudida, tiene à pesar de tantas prendas, el defecto, que, quando sale à baylar, sus rancadas, y sacudimientos destemplados, dàn à conocer, que quiere agradar con afectacion ridicula;",NEG
G01Q50,Tiene algunos intervalos de juicio; pero luego le buelve el frenesì con mayor fuerza.,NEG
G01Q51,El Mayorázgo disipa sus rentas sin conocimiento del trabajo que costó adquirirlas á sus antepasados,NEG
G01Q07,"Mi muger aborrece hasta el nombre de Cortejo, y su sencillèz no le permite entender cómo puede haver Dama, que tenga intimidad, llaneza, ni confianzas con quien no es su marido.",NEG
G01Q8,No es chanza: la mayor parte de los hombres no saben santiguarse.,NEG
G01Q52,"Y ha de saber Vm. que por la vanidad de estas gentes tienen atadas las manos algunos vecinos de caudal, que como buenos vasallos, desean corresponder á las piadosas intenciones de nuestro Católico Monarca, y concurrir con sus facultades para el remedio de los pobres, que son muchos en este Pueblo.",NEG
G01Q53,"Pues ha de saber Vmd. que, como si fuera un disparate quanto sale de mi boca, lo mismo es articular una palabra, que celebrarla todos con unos elogios y unas admiraciones, que yo conozco que son una verdadera burla; porque, reflexionando en lo que acabo de decir, veo bien que qualquiera diria otro tanto.",NEG
G01Q9,"El amor, que todos tenemos à la libertad, impedirà quizà que mis advertencias hagan impression en vuestro espiritu.",NEU
G01Q54,"Si el amigo no hallaba este espediente para apartar el pronóstico, yo no dudo que en la misma noche, muchas de aquellas Señoras hubieran caido enfermas.",NEG
G01Q10,"La lectura à que yo intento conduciros, solo podrà mejorar vuestro talento, y éste tambien lograrà enmendarse por medio de la prudencia, y discrecion en todo.",POS
G01Q55,"No nos desviamos de la verdad si comparamos á nuestros Médicos con los antiguos Bretones, en tiempo de Cesar; unos mataban á pie, otros estando en carro.",NEG
G01Q11,"Huid, Señora, de éstas, y preferid à su comunicacion la de las mas viles, y comunes mugeres; porque éstas no son, sino Demonios con faldas.",NEG
G01Q12,"Yo soy un hombre, que por lo ordinario gusto de ir contra la corriente",NEU
G01Q13,"Convencerá tal vez nuestro espiritu; pero poco importa: no gana, no somete nuestro corazon; y à pesar de sus raciocinios artificiosos, tenemos bastante fuerza para resistirle",POS
G01Q14,"Una muger hermosa, y entendida nos convence casi sin que lo conozcamos.",POS
G01Q56,"Semejantes documentos, apenas se aprenderán en un mes.",POS
G01Q57,"Pero pocas Damas tengo báxo mi direccion, que desde que entraron en mi academia, no sepan dar un golpe de Abanico, sin que se oiga de una extremidad de la sala á otra; ántes bien descargan unos golpes tan fuertes, que el ruido iguala al de un pistolete.",POS
G01Q15,Esta parte es la mas dificultosa de todo el exercicio.,NEU
G01Q16,"El ocioso quiere un espectaculo, que le haga sobrellevar alguna parte del tiempo, que le pesa.",NEG
