Sentence Code,To Annotate,Proposed Polarity,GPT
G00Q136[1].,"Miralos sin humanidad, y como esclavos, y ellos à su vez la sirven sin respeto, sublevados contra su tyranìa.",positive,No
G00Q136[2].,"Miralos sin humanidad, y como esclavos, y ellos à su vez la sirven sin respeto, sublevados contra su tyranìa.",neutral,No
G00Q136[3].,"Miralos sin humanidad, y como esclavos, y ellos à su vez la sirven sin respeto, sublevados contra su tyranìa.",negative,Yes
G00Q137[1].,"Miralos sin humanidad, y como esclavos, y ellos à su vez la sirven sin respeto, sublevados contra su tyranìa.",positive,No
G00Q137[2].,"Miralos sin humanidad, y como esclavos, y ellos à su vez la sirven sin respeto, sublevados contra su tyranìa.",neutral,No
G00Q137[3].,"Miralos sin humanidad, y como esclavos, y ellos à su vez la sirven sin respeto, sublevados contra su tyranìa.",negative,Yes
G00Q138[1].,No es tan facil determinar por dónde se ha de dár principio à la accion Dramatica.,positive,No
G00Q138[2].,No es tan facil determinar por dónde se ha de dár principio à la accion Dramatica.,neutral,Yes
G00Q138[3].,No es tan facil determinar por dónde se ha de dár principio à la accion Dramatica.,negative,No
G00Q139[1].,"Tù debes acordarte de la ternura, con que se portan las madres de mi País: del cuidado, con que nos crian, y de las atenciones, que les merecemos.",positive,No
G00Q139[2].,"Tù debes acordarte de la ternura, con que se portan las madres de mi País: del cuidado, con que nos crian, y de las atenciones, que les merecemos.",neutral,Yes
G00Q139[3].,"Tù debes acordarte de la ternura, con que se portan las madres de mi País: del cuidado, con que nos crian, y de las atenciones, que les merecemos.",negative,No
G00Q140[1].,"Alli estarà mas tranquilo, y podrà vivir à su gusto, y de contado no nos incomodarèmos uno á otro.",positive,No
G00Q140[2].,"Alli estarà mas tranquilo, y podrà vivir à su gusto, y de contado no nos incomodarèmos uno á otro.",neutral,Yes
G00Q140[3].,"Alli estarà mas tranquilo, y podrà vivir à su gusto, y de contado no nos incomodarèmos uno á otro.",negative,No
G00Q141[1].,"Confiesso à Vm. que yá no puedo sufrir la vida, que traygo con este afligido genio mio.",positive,No
G00Q141[2].,"Confiesso à Vm. que yá no puedo sufrir la vida, que traygo con este afligido genio mio.",neutral,Yes
G00Q141[3].,"Confiesso à Vm. que yá no puedo sufrir la vida, que traygo con este afligido genio mio.",negative,No
G00Q142[1].,"Algunas veces me contento con arquear las cejas, y encoger los hombros.",positive,No
G00Q142[2].,"Algunas veces me contento con arquear las cejas, y encoger los hombros.",neutral,Yes
G00Q142[3].,"Algunas veces me contento con arquear las cejas, y encoger los hombros.",negative,No
G00Q143[1].,"Muriò en mis brazos, y en el desorden, en que me hallaba, me pareciò, que su pecho aùn respiraba.",positive,No
G00Q143[2].,"Muriò en mis brazos, y en el desorden, en que me hallaba, me pareciò, que su pecho aùn respiraba.",neutral,Yes
G00Q143[3].,"Muriò en mis brazos, y en el desorden, en que me hallaba, me pareciò, que su pecho aùn respiraba.",negative,No
G00Q144[1].,"Pues soy muy goloso de dulces, apetezco olores, fina ropa blanca, y me muero por otras frioleras de este jaèz;",positive,No
G00Q144[2].,"Pues soy muy goloso de dulces, apetezco olores, fina ropa blanca, y me muero por otras frioleras de este jaèz;",neutral,Yes
G00Q144[3].,"Pues soy muy goloso de dulces, apetezco olores, fina ropa blanca, y me muero por otras frioleras de este jaèz;",negative,No
G00Q145[1].,"Interpretan una ojeada, hallan intento en un gesto risueño, dàn un nuevo sentido à las palabras, y acciones; y habiles en atormentarse, se espantan de su propria sombra",positive,No
G00Q145[2].,"Interpretan una ojeada, hallan intento en un gesto risueño, dàn un nuevo sentido à las palabras, y acciones; y habiles en atormentarse, se espantan de su propria sombra",neutral,Yes
G00Q145[3].,"Interpretan una ojeada, hallan intento en un gesto risueño, dàn un nuevo sentido à las palabras, y acciones; y habiles en atormentarse, se espantan de su propria sombra",negative,No
G00Q146[1].,"Quisiera Vm. que yo dijera, que esto propriamente se llama echar tierra à los ojos, y alucinar à ignorantes; y que si esto no es falta de caridad, calumnia, è impostura, digna del mas severo castigo, no hay otro nombre que darle; y que fuera mucho mejor, que el señor mio, se curára esta lepra, y no amenazára al Pensador con la de Ozìas, que el que le aconseje, que oyga con docilidad los Sermones.",positive,No
G00Q146[2].,"Quisiera Vm. que yo dijera, que esto propriamente se llama echar tierra à los ojos, y alucinar à ignorantes; y que si esto no es falta de caridad, calumnia, è impostura, digna del mas severo castigo, no hay otro nombre que darle; y que fuera mucho mejor, que el señor mio, se curára esta lepra, y no amenazára al Pensador con la de Ozìas, que el que le aconseje, que oyga con docilidad los Sermones.",neutral,Yes
G00Q146[3].,"Quisiera Vm. que yo dijera, que esto propriamente se llama echar tierra à los ojos, y alucinar à ignorantes; y que si esto no es falta de caridad, calumnia, è impostura, digna del mas severo castigo, no hay otro nombre que darle; y que fuera mucho mejor, que el señor mio, se curára esta lepra, y no amenazára al Pensador con la de Ozìas, que el que le aconseje, que oyga con docilidad los Sermones.",negative,No
G00Q147[1].,¿no hay Dios que castigue?,positive,No
G00Q147[2].,¿no hay Dios que castigue?,neutral,Yes
G00Q147[3].,¿no hay Dios que castigue?,negative,No
