Sentence Code,To Annotate,Proposed Polarity,GPT
G00Q136[3].,"Miralos sin humanidad, y como esclavos, y ellos à su vez la sirven sin respeto, sublevados contra su tyranìa.",negative,Yes
G00Q137[3].,"Miralos sin humanidad, y como esclavos, y ellos à su vez la sirven sin respeto, sublevados contra su tyranìa.",negative,Yes
G00Q138[2].,No es tan facil determinar por dónde se ha de dár principio à la accion Dramatica.,neutral,Yes
G00Q139[2].,"Tù debes acordarte de la ternura, con que se portan las madres de mi País: del cuidado, con que nos crian, y de las atenciones, que les merecemos.",neutral,Yes
G00Q140[2].,"Alli estarà mas tranquilo, y podrà vivir à su gusto, y de contado no nos incomodarèmos uno á otro.",neutral,Yes
G00Q141[2].,"Confiesso à Vm. que yá no puedo sufrir la vida, que traygo con este afligido genio mio.",neutral,Yes
G00Q142[2].,"Algunas veces me contento con arquear las cejas, y encoger los hombros.",neutral,Yes
G00Q143[2].,"Muriò en mis brazos, y en el desorden, en que me hallaba, me pareciò, que su pecho aùn respiraba.",neutral,Yes
G00Q144[2].,"Pues soy muy goloso de dulces, apetezco olores, fina ropa blanca, y me muero por otras frioleras de este jaèz;",neutral,Yes
G00Q145[2].,"Interpretan una ojeada, hallan intento en un gesto risueño, dàn un nuevo sentido à las palabras, y acciones; y habiles en atormentarse, se espantan de su propria sombra",neutral,Yes
G00Q146[2].,"Quisiera Vm. que yo dijera, que esto propriamente se llama echar tierra à los ojos, y alucinar à ignorantes; y que si esto no es falta de caridad, calumnia, è impostura, digna del mas severo castigo, no hay otro nombre que darle; y que fuera mucho mejor, que el señor mio, se curára esta lepra, y no amenazára al Pensador con la de Ozìas, que el que le aconseje, que oyga con docilidad los Sermones.",neutral,Yes
G00Q147[2].,¿no hay Dios que castigue?,neutral,Yes
G00Q148[2].,"""Vayase cada uno donde quisiere, que yá tengo yo possada, y cena en casa de un Vasallo, el unico que he encontrado en este Lugar, porque yo soy Rey de racionales, no de brutos.”",neutral,Yes
G00Q149[2].,"Ahora bien, yo no pretendo llevar las cosas al extremo.",neutral,Yes
G00Q150[2].,"Que vivan contentos, y felices todos los hombres en la tierra, es empressa, à que no se ha atrevido, ni Jupiter, ni yo.",neutral,Yes
G00Q151[2].,"Si hablo mucho, si con todos me rio, si me burlo de éste, si al descuido le doy un capirote à aquel, soy malo, soy perverso, soy demasiado astuto.",neutral,Yes
G00Q152[2].,¡què mal lo conoce V. M.!,neutral,Yes
G00Q153[2].,"Añada Vm. à esto, que tenia una porcion de defectos capitales, por los quales debia ser excluìdo de la Cofradìa; pues ni cantaba, ni tocaba instrumento alguno, ni sabìa mentir, ni engañar, ni murmurar, ni dissimular.",neutral,Yes
G00Q154[2].,"Yo sè que su caracter es de amar, y desear lo justo; y desde luego, para que Vms. queden mas satisfechas, le escribirè, à fin de que ataque los vicios en su raíz, y piense sobre la educacion de los hombres, como que de ella se origina toda la corrupcion de la sociedad.",neutral,Yes
G00Q155[2].,"Amigo mio, es defecto de historia pensar de este modo: desde los Griegos hay memoria de pendientes, de rizos, de calzados, de adornos, de faustos, de viandas regaladas.",neutral,Yes
G00Q156[2].,"Le hago patente que si por razon del fiambre me lleva algo mas de lo lícito, se mama una usurita corriente nacida del mutuo virtual y paliado.",neutral,Yes
G00Q157[2].,"No señor: dice tambien, que Dios manda en el Deuteronomio : que á la muger esclava se le rada la cabeza, las cejas y todos los cabellos; que se le hayan de cortar las uñas, y que así será lícito tenerla en matrimonio.",neutral,Yes
G00Q158[2].,"Por vida de: pero tate, Que lo que urge por ahora Es dexar la mar en leche, Por si me quiero hacer sopas.",neutral,Yes
G00Q159[2].,"Mi edad es entre merced, y señoría, lo que basta para dár consejos acertados, sin que sea preciso escucharlos con disgusto: mi inclinacion es la libertad de una vida, sin la sujecion penosa del matrimonio, ni la esclavitud penosa de un encierro",neutral,Yes
G00Q160[2].,"el ánimo, que ha de ser grande, nunca es pequeño",neutral,Yes
G00Q161[2].,"Grande es este golpe, no lo niego; pero mayor es el de aquellos, que por descuido, ò ignorancia dieron causa suficiente á este daño.",neutral,Yes
G00Q162[2].,"Tan flaca, y consumida, que parecía retrato de la misma necesidad.",neutral,Yes
G00Q163[2].,"¿qué otro empleo la dán mas, que obligarla à celebrar unos hombres, que por viles, ò murieron entre las fatigas de un lazo, ò à las iras crueles de una venganza?",neutral,Yes
G00Q164[2].,"Ni tantos ancianos, que en la mas estrecha angustia de la escaséz, buscan el pan con el doble sudor de su rostro, sudan en adquirirle mendigando, y sudan con la vergüenza de haberle de procurar pidiendo.",neutral,Yes
G00Q165[2].,"Pero será dichoso, y feliz en su estado: no poseerá abundancias, ni se verá lisonjeado;",neutral,Yes
G00Q166[2].,"No està en esto la gracia, sino es que apenas se vió correspondido, se ausentó de casa, y se fue con sus engaños à otra parte, quedandonos à la Luna de Valencia, sin uno, y sin otro, y la niña tan apesadumbrada, que por poco la pobrecita se muere: estuvo muy mala.",neutral,Yes
G00Q167[2].,"Qué contento me hallaba, no obstante mi fatalidad, à el mirar, que si me faltaba la hacienda, la tenìa depositada en aquellos, que tanto se ofrecian, y tan promptos habian ocurrido à mi socorro!",neutral,Yes
G00Q168[2].,"porque yo, quando escribo una carta, à excepsion de la fecha, la firma, y el muy señor mio, todo lo demás me cuesta mas gotas de sudor, que si estubiera cabando;",neutral,Yes
G00Q169[2].,"Pero hoy no he de irme hasta que venga, por probar si puedo desquitarme.",neutral,Yes
G00Q170[2].,"¡Quantos Cuervos racionales vivirán hoy hambrientos, porque quisieron llegar â la cumbre donde los colocaba la Lisonja!",neutral,Yes
G00Q171[2].,"¡valgate Dios por nombre, que aún assi engendras sustos, parasismos, y aborrecimiento!",neutral,Yes
G00Q172[2].,".¿Pues no há reparado Vm. mi alma (la réplica) à Madama Polonia, que llegò havrá quince dias de Parìs, què manera tan discreta de peynarse, y què bello gusto de Batas que trae?",neutral,Yes
G00Q173[2].,"Todo esto llevará con paciencia, si su asèo, y prolixa compostura se ordenára â conplacerme; pero es muy â el contrario, porque su merced es Cortejo, y hace tanta vanidad de serlo, que quando està de humor me refiere las gracias de su querida, me pondera sus chistes, y alaba su hermosura: vea Vm. què refresco para quien se halla atabardillada de Zelos.",neutral,Yes
G00Q174[2].,"Lucio es un ingrato, es un Hombre, que entrega â el olvido los mayores favores, pues en el tiempo de su miseria le socorrì con generosidad, y ahora que yá de nadie necessita, no hace caso de quien tanto le sirviò",neutral,Yes
G00Q175[2].,"Estos son los que dexè notados à el principio, y estos debian, haciendo lo mismo, y desvelandose igualmente por instruírse, evitàr el motivo de su mal fundada quexa.",neutral,Yes
G00Q176[2].,"Tenía muchissima confianza de mi, como que se hacía cargo de la prenda, que tenìa en Casa.",neutral,Yes
G00Q200[2].,"Epaminondas no se desdeñaba de mezclarse en las danzas de los muchachos de Thebas, su Patria, ni creía obscurecer con esto la gloria de sus victorias, ni la pureza de sus costumbres.",neutral,Yes
G00Q177[2].,"En pocas partes del Mundo se vè con mas frequencia este desorden, que en esta Ciudad.",neutral,Yes
G00Q179[2].,"Estas fingidas esperanzas, y las importunas ponderaciones de todos los que me trataban, como conquistados de sus regalos, me llevaron voluntariamente â manos de mi mayor desgracia.",neutral,Yes
G00Q180[2].,"Si esto intentàra, sería un disparate: lo que culpo, y condeno como indigno, no es aquel sentimiento discreto, que se forma de los males, regulandole siempre con lo justo, para que no exceda su linea, y passe â ser impaciencia, ô desesperacion: no es este, porque assi es precisso, y honesto;",neutral,Yes
G00Q181[2].,"En pocas partes del Mundo se vè con mas frequencia este desorden, que en esta Ciudad.",neutral,Yes
G00Q201[2].,"Examinense las Historias de los Egypcios, y de los Hebreos, y se encontrará crecido numero de impostores, que abusando de la débil credulidad de los hombres, se jactaban de curar las enfermedades mas inveteradas, por medio de amuletos, talismanes, adivinaciones, y especificos.",neutral,Yes
G00Q183[2].,"En fin Vm. no estrañe el modo de explicarme, porque realmente estoy loco, no sè lo que me digo: y lo peor es, que aunque lo conozco, no lo puedo remediár",neutral,Yes
G00Q184[2].,"Señora Culta, su Carta es un farrago de los mas despreciables, y en su obscuro contexto se mira la satisfaccion de su duda.",neutral,Yes
G00Q185[2].,"Yo por mi desgracia me hallo Casada con un Curioso tan fino, que por la menor novedad que se le presente, se estará dos dias sin venir â casa, hasta conseguir hallarse informado de sus menores circunstancias, para despues tener assumpto flamante en las Tertulias",neutral,Yes
G00Q202[2].,"Antes bien, por su modo de pensár se dexa discurrir, que tiene ideádo el contribuir por su parte, al destierro de las mas raras extravagancias y corruptelas, con que los hombres se han empeñado en echar à perder cada dia mas el mundo.",neutral,Yes
